Year,State,Total Population,Median Age,Household Income,Per Capita Income,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2019,Mississippi,2984418,3177.4,3248272.0,1784193.0,1235224.0,99733.0,11721.0,585786.0
2019,Missouri,6104910,4772.8,5531053.0,2871960.0,2916000.0,139789.0,18850.0,810045.0
2019,Montana,1050649,2507.9,2855101.0,1620188.0,512329.0,21513.0,3030.0,134605.0
2019,Nebraska,1914571,4019.1,5086637.0,2743367.0,999212.0,34535.0,5751.0,206579.0
2019,Nevada,2972382,747.3,1022034.0,513208.0,1406568.0,92426.0,8393.0,384690.0
2019,New Hampshire,1348124,445.4,693082.0,368196.0,729701.0,27430.0,1950.0,98682.0
2019,New Jersey,8878503,865.9,1740630.0,882289.0,4422491.0,258093.0,9265.0,869081.0
2019,New Mexico,2092454,1377.4,1442858.0,812467.0,888646.0,63458.0,9895.0,392065.0
2019,New York,19572319,2581.2,3874046.0,2019862.0,9498320.0,547509.0,23390.0,2681277.0
2019,North Carolina,10264876,4272.1,4841949.0,2664094.0,4764135.0,281344.0,94310.0,1467591.0
2019,North Dakota,756717,2270.9,3311196.0,1849268.0,402322.0,11406.0,6563.0,78198.0
2019,Ohio,11655397,3610.7,4910421.0,2521394.0,5595444.0,314483.0,8544.0,1588343.0
2019,Oklahoma,3932870,3034.2,3750726.0,1944510.0,1772123.0,94834.0,18971.0,598373.0
2019,Oregon,4129803,1582.0,1942312.0,1042493.0,1979043.0,114559.0,3090.0,533527.0
2019,Pennsylvania,12791530,2904.1,3822758.0,2013530.0,6199456.0,347378.0,6555.0,1539183.0
2019,Puerto Rico,3318447,3249.2,1505402.0,863295.0,1028513.0,196934.0,1845.0,1449091.0
2019,Rhode Island,1057231,215.4,380572.0,208420.0,533878.0,30455.0,3593.0,125826.0
2019,South Carolina,5020806,1905.9,2097983.0,1158900.0,2275531.0,139526.0,32797.0,741650.0
2019,South Dakota,870638,2668.2,3582384.0,1908298.0,443891.0,15736.0,2663.0,110553.0
2019,Tennessee,6709356,4001.8,4480865.0,2405865.0,3109872.0,172799.0,18830.0,996930.0
2019,Texas,28260856,9965.8,13423288.0,6675248.0,13253631.0,708827.0,93394.0,4072194.0
2019,Utah,3096848,1002.7,1828728.0,773541.0,1497354.0,55539.0,4322.0,298537.0
2019,Vermont,624313,629.9,836637.0,464583.0,329028.0,12323.0,581.0,65652.0
2019,Virginia,8454463,5604.1,8080646.0,4156274.0,4156018.0,200850.0,120385.0,865691.0
2019,Washington,7404107,1643.7,2316345.0,1208464.0,3594279.0,187330.0,52871.0,785244.0
2019,West Virginia,1817305,2440.1,2469073.0,1358051.0,740910.0,51910.0,1306.0,310044.0
2019,Wisconsin,5790716,3143.3,4198022.0,2234474.0,2982359.0,111564.0,3190.0,639160.0
2019,Wyoming,581024,930.2,1422059.0,739721.0,288503.0,13544.0,2957.0,62257.0
